participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P41,7,3.024557114,TLD,4,1,right,1.0,3.024557114,implicit
P41,8,3.027854204,TLD,4,1,left,1.0,3.027854204,implicit
P41,9,2.697274923,TLD,4,1,right,1.0,2.697274923,implicit
P41,10,2.890506983,TLD,4,1,left,1.0,2.890506983,implicit
P41,11,3.200793982,TLD,4,1,left,0.0,3.200793982,implicit
P41,12,2.478085995,TLD,4,1,right,1.0,2.478085995,implicit
P41,13,2.320325851,TLD,4,1,right,0.0,2.320325851,implicit
P41,14,2.954225063,TLD,4,1,left,1.0,2.954225063,implicit
P41,15,2.935193062,TLD,4,1,left,0.0,2.935193062,implicit
P41,16,2.244896173,TLD,4,1,right,1.0,2.244896173,implicit
P41,17,2.843142033,TLD,4,1,left,1.0,2.843142033,implicit
P41,18,2.411402941,TLD,4,1,right,1.0,2.411402941,implicit
P41,19,2.612077951,TLD,4,1,left,1.0,2.612077951,implicit
P41,20,2.33129096,TLD,4,1,right,1.0,2.33129096,implicit
P41,21,2.491949081,TLD,4,1,left,1.0,2.491949081,implicit
P41,22,2.683736086,TLD,4,1,left,0.0,2.683736086,implicit
P41,23,2.560842991,TLD,4,1,right,1.0,2.560842991,implicit
P41,24,2.296930075,TLD,4,0,right,0.0,2.296930075,implicit
P41,25,2.798950911,TLD,4,1,left,0.0,2.798950911,implicit
P41,26,2.393505096,TLD,4,1,right,1.0,2.393505096,implicit
P41,27,2.511707067,TLD,4,1,left,1.0,2.511707067,implicit
P41,28,2.396821976,TLD,4,1,right,1.0,2.396821976,implicit
P41,29,2.849720001,TLD,4,1,right,0.0,2.849720001,implicit
P41,30,2.643081903,TLD,4,1,left,1.0,2.643081903,implicit
P41,31,2.55352807,TLD,4,1,left,0.0,2.55352807,implicit
P41,32,2.479299068,TLD,4,1,right,1.0,2.479299068,implicit
P41,33,2.548289061,TLD,4,1,right,0.0,2.548289061,implicit
P41,34,2.51026082,TLD,4,1,left,1.0,2.51026082,implicit
P41,35,2.711274147,TLD,4,1,right,1.0,2.711274147,implicit
P41,36,3.049158096,TLD,4,1,left,1.0,3.049158096,implicit
P41,37,2.519566059,TLD,4,1,right,1.0,2.519566059,implicit
P41,38,2.362438917,TLD,4,1,left,1.0,2.362438917,implicit
P41,39,2.854048967,TLD,4,1,left,0.0,2.854048967,implicit
P41,40,0.5231161118,TLD,4,0,right,1.0,,implicit
P41,41,2.910390139,TLD,4,1,left,1.0,2.910390139,implicit
P41,42,2.430340052,TLD,4,1,right,1.0,2.430340052,implicit
P41,43,2.712352991,TLD,4,1,left,1.0,2.712352991,implicit
P41,44,2.425686121,TLD,4,1,right,1.0,2.425686121,implicit
P41,45,2.658519983,TLD,4,1,right,0.0,2.658519983,implicit
P41,46,2.594084024,TLD,4,1,left,1.0,2.594084024,implicit
P41,47,2.802362919,TLD,4,1,left,0.0,2.802362919,implicit
P41,48,2.37846899,TLD,4,1,right,1.0,2.37846899,implicit
P42,1,2.774742842,TLD,5,1,right,0.0,2.774742842,implicit
P42,2,3.011631012,TLD,5,1,left,1.0,3.011631012,implicit
P42,3,3.319103003,TLD,5,1,left,0.0,3.319103003,implicit
P42,4,3.453172922,TLD,5,1,right,1.0,3.453172922,implicit
P42,5,2.824463844,TLD,5,1,left,1.0,2.824463844,implicit
P42,6,3.047384024,TLD,5,1,right,1.0,3.047384024,implicit
P42,7,3.175374031,TLD,5,1,left,1.0,3.175374031,implicit
P42,8,3.444476843,TLD,5,1,right,1.0,3.444476843,implicit
P42,9,3.33316803,TLD,5,1,right,0.0,3.33316803,implicit
P42,10,2.858062983,TLD,5,1,left,1.0,2.858062983,implicit
P42,11,3.218769073,TLD,5,1,left,0.0,3.218769073,implicit
P42,12,2.513159037,TLD,5,1,right,1.0,2.513159037,implicit
P42,13,2.825186968,TLD,5,1,left,1.0,2.825186968,implicit
P42,14,2.645327091,TLD,5,1,right,1.0,2.645327091,implicit
P42,15,2.762574911,TLD,5,1,left,1.0,2.762574911,implicit
P42,16,2.680688143,TLD,5,1,right,1.0,2.680688143,implicit
P42,17,2.89893508,TLD,5,1,right,0.0,2.89893508,implicit
