participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std
P65,36,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.520118952,1,implicit,True
P65,37,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.71398592,1,implicit,True
P65,38,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.244740009,1,implicit,True
P65,39,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,2.751166105,1,implicit,True
P65,40,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.910969973,1,implicit,True
P65,41,DLD,1,right,1.0,False,pitch,5,0.78,2.715218455,4.010907888,1,implicit,True
P65,42,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,3.313953877,1,implicit,True
P65,43,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.917818069,1,implicit,True
P65,44,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.509844065,1,implicit,True
P65,45,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.714611053,1,implicit,True
P65,46,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.444099903,1,implicit,True
P65,47,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.165192842,1,implicit,True
P65,48,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.875766039,1,implicit,True
P67,1,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,3.725584984,1,implicit,True
P67,2,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,1.510595083,1,implicit,True
P67,3,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,2.453286886,1,implicit,True
P67,4,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.025718927,1,implicit,True
P67,5,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,2.602143049,1,implicit,True
P67,6,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.060065031,1,implicit,True
P67,7,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,2.403079987,1,implicit,True
P67,8,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.50688386,1,implicit,True
P67,9,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.769836903,1,implicit,True
P67,10,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.34266305,1,implicit,True
P67,11,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.814837933,1,implicit,True
P67,12,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.652917147,1,implicit,True
P67,13,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,3.217207909,1,implicit,True
P67,14,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.911943913,1,implicit,True
P67,15,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,1.944095135,1,implicit,True
P67,16,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,2.246137142,0,implicit,True
P67,17,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.992353916,1,implicit,True
P67,18,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.652922869,1,implicit,True
P67,19,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.546057224,1,implicit,True
P67,20,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.309411049,1,implicit,True
P67,21,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,3.526862144,1,implicit,True
